msa,lat,lon,geometry
DAL,-518021.5164605291,-86687.78914919187,"c(-86687.7891491919, -518021.516460529)"
PHO,-357122.3020284056,-1481690.914976137,"c(-1481690.91497614, -357122.302028406)"
BAL,371776.91565289634,1650254.725154903,"c(1650254.7251549, 371776.915652896)"
LOS,-143608.571253046,-2012566.0145162244,"c(-2012566.01451622, -143608.571253046)"
ATL,-361095.18414243945,1061708.5747838682,"c(1061708.57478387, -361095.184142439)"
DET,654135.8156979142,1038522.4602333081,"c(1038522.46023331, 654135.815697914)"
PHI,458537.36334881035,1739368.3094690226,"c(1739368.30946902, 458537.36334881)"
DEN,252278.77476280186,-757654.6987507168,"c(-757654.698750717, 252278.774762802)"
POR,1191334.1344930388,-2039992.8355048087,"c(-2039992.83550481, 1191334.13449304)"
SFO,345553.3778688653,-2263200.520938798,"c(-2263200.5209388, 345553.377868865)"
BOS,828286.182800741,2016374.9282786811,"c(2016374.92827868, 828286.182800741)"
MIA,-1137013.682830347,1560150.4185435437,"c(1560150.41854354, -1137013.68283035)"
NEW,581300.2717055154,1834861.8658551627,"c(1834861.86585516, 581300.271705515)"
STL,145186.936523708,482690.5476667332,"c(482690.547666733, 145186.936523708)"
SAN,-290475.30939438805,-1912880.056318272,"c(-1912880.05631827, -290475.309394388)"
TAM,-950150.131930822,1329688.9372422094,"c(1329688.93724221, -950150.131930822)"
SEA,1387568.875133932,-1936841.6926964973,"c(-1936841.6926965, 1387568.87513393)"
CHI,513207.1707406187,673146.2235298264,"c(673146.223529826, 513207.170740619)"
RIV,-136951.36101461927,-1818862.4147595558,"c(-1818862.41475956, -136951.361014619)"
MIN,849496.6036356061,220060.30992777745,"c(220060.309927777, 849496.603635606)"
WDC,306770.9945710808,1590545.5514370706,"c(1590545.55143707, 306770.994571081)"
HOU,-859211.2855668683,63541.116480041026,"c(63541.116480041, -859211.285566868)"
